id,title,description,reported_by,status,priority,severity,assigned_group,assigned_to,resolution_notes,closure_code,closed_date,incident_type,cmdb_ci_id,work_around_id,known_problem_id,rca_document_id,change_request_id,telemetry_id,logs_id,created_date,updated_date,
INC0001,Website Performance Slow,Users are reporting slow loading times for the main website.,user123,Resolved,High,Major,Web Operations,tech_support_01,Identified and terminated a runaway script causing high CPU on the web server.,Fixed,2025-03-20 11:00:00,Performance Issue,CMDBCI0001,WRK_AROUND_0001,KWN_ISSUE_0001,RCA_D_0001,CHNG_0001,TELE_0001,LOGS_0001,2025-03-20 09:00:00,2025-03-20 11:00:00,
INC0002,Database Connection Errors in Application,Application users are unable to access data and see database connection errors.,user456,Resolved,High,Critical,Application Support,app_support_02,Restarted the application service and investigating potential network issues.,Fixed,2025-03-20 12:15:00,Application Error,CMDBCI0002,WRK_AROUND_0002,KWN_ISSUE_0002,RCA_D_0002,CHNG_0002,TELE_0002,LOGS_0002,2025-03-20 10:15:00,2025-03-20 12:15:00,
INC0003,Network Outage in Marketing Department,Users in the marketing department cannot connect to the network.,user789,Resolved,High,Critical,Network Operations,net_engineer_01,Rebooted the core network switch which resolved the connectivity issue. Firmware upgrade scheduled.,Fixed,2025-03-21 14:00:00,Network Issue,CMDBCI0003,WRK_AROUND_0003,KWN_ISSUE_0003,RCA_D_0003,,TELE_0003,LOGS_0003,2025-03-20 11:30:00,2025-03-21 14:00:00,
INC0004,Laptops Freezing Randomly for Multiple Users,Several employees are experiencing their laptops freezing unexpectedly.,user101,Resolved,Medium,Major,End User Support,helpdesk_agent_01,Identified a background process causing high memory usage and deployed an application update.,Fixed,2025-03-21 15:30:00,Hardware Issue,CMDBCI0004,WRK_AROUND_0004,KWN_ISSUE_0004,RCA_D_0004,,TELE_0004,LOGS_0004,2025-03-21 13:45:00,2025-03-21 15:30:00,
INC0005,Email Delivery Delays for Internal Emails,Employees are reporting significant delays in receiving internal emails.,user202,Resolved,Medium,Minor,Email Administrators,email_admin_01,Restarted the email transport service and investigating a surge in automated emails.,Fixed,2025-03-22 16:45:00,Application Error,CMDBCI0005,WRK_AROUND_0005,KWN_ISSUE_0005,RCA_D_0005,CHNG_0005,TELE_0005,LOGS_0005,2025-03-22 15:00:00,2025-03-22 16:45:00,
INC0006,External Service Unreachable,Users are unable to access a critical external service.,user303,Resolved,High,Critical,Security Team,security_analyst_01,Identified and corrected an incorrectly configured firewall rule.,Fixed,2025-03-23 11:00:00,Network Issue,CMDBCI0006,WRK_AROUND_0006,KWN_ISSUE_0006,RCA_D_0006,,TELE_0006,LOGS_0006,2025-03-23 09:00:00,2025-03-23 11:00:00,
INC0007,Test Application Errors After Deployment,Testers are reporting multiple errors in the test application after the latest code deployment.,tester_01,Resolved,High,Major,Development Team,dev_team_lead_01,Rolled back the code deployment to the previous stable version. Developers are working on a fix.,Fixed,2025-03-21 19:30:00,Software Bug,CMDBCI0007,WRK_AROUND_0007,KWN_ISSUE_0007,RCA_D_0007,CHNG_0007,TELE_0007,LOGS_0007,2025-03-20 17:45:00,2025-03-21 19:30:00,
INC0008,Slow Performance on Application,Users are experiencing slow performance when using a specific application.,user404,Resolved,Medium,Major,Storage Admins,storage_admin_01,Adjusted the priority of a background maintenance task on the storage array.,Fixed,2025-03-22 20:45:00,Performance Issue,CMDBCI0008,WRK_AROUND_0008,KWN_ISSUE_0008,RCA_D_0008,,TELE_0008,LOGS_0008,2025-03-21 19:00:00,2025-03-22 20:45:00,
INC0009,Desktop Application Crashing Frequently,A specific desktop application is crashing frequently for several users.,user505,Resolved,Medium,Major,End User Support,helpdesk_agent_02,Provided a temporary workaround and investigating a permanent fix for the application compatibility issue.,Fixed,2025-03-23 22:15:00,Software Bug,CMDBCI0009,WRK_AROUND_0009,KWN_ISSUE_0009,RCA_D_0009,CHNG_0009,TELE_0009,LOGS_0009,2025-03-22 20:30:00,2025-03-23 22:15:00,
INC00010,Load Balancer Not Distributing Traffic Evenly,Monitoring system shows uneven traffic distribution across web servers behind the load balancer.,monitor_system,Resolved,Medium,Minor,Network Operations,net_engineer_02,Adjusted the load balancing algorithm to ensure even distribution.,Fixed,2025-03-24 18:00:00,Configuration Issue,CMDBCI00010,WRK_AROUND_00010,KWN_ISSUE_00010,RCA_D_00010,CHNG_00010,TELE_00010,LOGS_00010,2025-03-23 22:00:00,2025-03-24 18:00:00,
INC00011,Failed Trade Execution on Trading System Alpha,Trader reported that a critical equity trade failed to execute on Trading System Alpha.,trader101,Resolved,High,Critical,Equity Trading Support,trade_support_01,Identified and resolved a temporary network connectivity issue with the exchange.,Fixed,2025-03-20 11:00:00,Trading System Issue,CMDBCI00011,WRK_AROUND_00011,KWN_ISSUE_00011,RCA_D_00011,,TELE_00011,LOGS_00011,2025-03-20 09:00:00,2025-03-20 11:00:00,
INC00012,Delayed Transaction Data in Reports,Financial analysts are seeing delayed transaction data in their daily reports.,analyst202,Resolved,Medium,Major,Settlements Support,settlements_support_01,Optimized an inefficient batch job causing high load on the transaction database.,Fixed,2025-03-20 12:15:00,Reporting Issue,CMDBCI00012,WRK_AROUND_00012,KWN_ISSUE_00012,RCA_D_00012,,TELE_00012,LOGS_00012,2025-03-20 10:15:00,2025-03-20 12:15:00,
INC00013,Incorrect Overnight Risk Calculation,Risk Management team reported discrepancies in the overnight risk calculations.,risk_analyst303,Resolved,High,Critical,Risk Management IT,risk_it_01,Rolled back to the previous stable version of the risk calculation engine.,Fixed,2025-03-21 14:00:00,Risk Calculation Error,CMDBCI00013,WRK_AROUND_00013,KWN_ISSUE_00013,RCA_D_00013,CHNG_00013,TELE_00013,LOGS_00013,2025-03-20 11:30:00,2025-03-21 14:00:00,
INC00014,Customer Login Issues on Web Portal,Multiple customers are unable to log into the Customer Portal Web.,customer_support404,Resolved,High,Major,Customer Portal Support,portal_support_01,Restarted the authentication service which resolved the customer login issues.,Fixed,2025-03-21 15:30:00,Customer Access Issue,CMDBCI00014,WRK_AROUND_00014,KWN_ISSUE_00014,RCA_D_00014,CHNG_00014,TELE_00014,LOGS_00014,2025-03-21 13:45:00,2025-03-21 15:30:00,
INC00015,Payment Processing Timeouts,Payment operations are experiencing timeouts when processing payments.,payment_ops505,Resolved,High,Critical,Payment Gateway Support,payment_support_01,The acquiring bank experienced a temporary outage which has now been resolved.,Fixed,2025-03-22 16:45:00,Payment Processing Error,CMDBCI00015,WRK_AROUND_00015,KWN_ISSUE_00015,RCA_D_00015,,TELE_00015,LOGS_00015,2025-03-22 15:00:00,2025-03-22 16:45:00,
INC00016,End-of-Day Report Generation Failure,Financial reporting team reported that the end-of-day reports failed to generate.,report_admin606,Resolved,High,Critical,Financial Reporting IT,reporting_it_01,Restarted the reporting service and the database connection to the data warehouse.,Fixed,2025-03-23 11:00:00,Reporting Issue,CMDBCI00016,WRK_AROUND_00016,KWN_ISSUE_00016,RCA_D_00016,CHNG_00016,TELE_00016,LOGS_00016,2025-03-23 09:00:00,2025-03-23 11:00:00,
INC00017,Incorrect Account Balances in Mobile App,Several mobile banking app users are reporting incorrect account balances.,mobile_user707,Resolved,High,Critical,Mobile Banking Support,mobile_support_01,Rolled back the mobile app to the previous stable version due to a bug in the balance calculation.,Fixed,2025-03-21 19:30:00,Mobile App Error,CMDBCI00017,WRK_AROUND_00017,KWN_ISSUE_00017,RCA_D_00017,,TELE_00017,LOGS_00017,2025-03-20 17:45:00,2025-03-21 19:30:00,
INC00018,Excessive Compliance Alert Volume,Compliance team is receiving an overwhelming number of compliance alerts.,compliance_officer808,Resolved,Medium,Major,Compliance IT,compliance_it_01,Adjusted the configuration of an overly sensitive compliance rule.,Fixed,2025-03-22 20:45:00,Compliance System Issue,CMDBCI00018,WRK_AROUND_00018,KWN_ISSUE_00018,RCA_D_00018,CHNG_00018,TELE_00018,LOGS_00018,2025-03-21 19:00:00,2025-03-22 20:45:00,
INC00019,ATM Cash Withdrawal Errors,Customers are reporting errors when trying to withdraw cash from ATMs.,atm_support909,Resolved,High,Critical,ATM Operations Support,atm_support_01,Rolled back the ATM software to the previous stable version due to a software glitch.,Fixed,2025-03-23 22:15:00,ATM Issue,CMDBCI00019,WRK_AROUND_00019,KWN_ISSUE_00019,RCA_D_00019,CHNG_00019,TELE_00019,LOGS_00019,2025-03-22 20:30:00,2025-03-23 22:15:00,
INC00020,High Volume of False Positive Fraud Alerts,Security team is investigating a high number of false positive fraud alerts.,fraud_analyst1010,Resolved,Medium,Major,Fraud Prevention IT,fraud_it_01,Adjusted the sensitivity of a fraud detection rule that was triggering too many false positives.,Fixed,2025-03-24 18:00:00,Fraud Detection Issue,CMDBCI00020,WRK_AROUND_00020,KWN_ISSUE_00020,RCA_D_00020,,TELE_00020,LOGS_00020,2025-03-23 22:00:00,2025-03-24 18:00:00,
INC00021,HRIS Application Running Slowly,Users are reporting that the HRIS application is very slow and unresponsive.,hr_user_01,Resolved,High,Major,HR IT Support,it_support_01,Optimized the SQL queries in the batch job causing high CPU.,Fixed,2025-03-20 11:00:00,Application Performance,CMDBCI00021,WRK_AROUND_00021,KWN_ISSUE_00021,RCA_D_00021,CHNG_00021,TELE_00021,LOGS_00021,2025-03-20 09:05:00,2025-03-20 11:00:00,
INC00022,Employees Cannot Access Payroll Slips Online,Multiple employees are unable to view their payroll slips on the employee portal.,employee_02,Resolved,High,Critical,Employee Portal Support,portal_support_01,Restarted the payroll database service which resolved the connection issues.,Fixed,2025-03-20 12:15:00,Access Issue,CMDBCI00022,WRK_AROUND_00022,KWN_ISSUE_00022,RCA_D_00022,,TELE_00022,LOGS_00022,2025-03-20 10:10:00,2025-03-20 12:15:00,
INC00023,HR Shared Drive Permissions Incorrect,HR staff are unable to access certain documents on the shared network drive.,hr_admin_03,Resolved,Medium,Major,File Server Support,fs_support_01,Corrected the group policy that was causing the incorrect permissions.,Fixed,2025-03-21 14:00:00,Permissions Issue,CMDBCI00023,WRK_AROUND_00023,KWN_ISSUE_00023,RCA_D_00023,CHNG_00023,TELE_00023,LOGS_00023,2025-03-20 11:40:00,2025-03-21 14:00:00,
INC00024,Time Tracking System Errors During Submission,Employees are getting errors when trying to submit their weekly time entries.,employee_04,Resolved,Medium,Major,Application Support,app_support_02,Restarted the time tracking application service.,Fixed,2025-03-21 15:30:00,Application Error,CMDBCI00024,WRK_AROUND_00024,KWN_ISSUE_00024,RCA_D_00024,,TELE_00024,LOGS_00024,2025-03-21 13:50:00,2025-03-21 15:30:00,
INC00025,External Candidates Unable to Login to Recruitment Portal,Job applicants are reporting issues when trying to log into the recruitment application.,recruiter_05,Resolved,High,Major,Recruitment App Support,recruit_support_01,Rolled back the authentication module to the previous version.,Fixed,2025-03-22 16:45:00,Login Issue,CMDBCI00025,WRK_AROUND_00025,KWN_ISSUE_00025,RCA_D_00025,CHNG_00025,TELE_00025,LOGS_00025,2025-03-22 14:15:00,2025-03-22 16:45:00,
INC00026,Intermittent Errors Accessing Benefits System,Employees are occasionally getting errors when trying to view their benefits information online.,employee_06,Resolved,Medium,Minor,Benefits System Support,benefits_support_01,The external vendor resolved the temporary system outage.,Fixed,2025-03-23 11:00:00,External System Issue,CMDBCI00026,WRK_AROUND_00026,KWN_ISSUE_00026,RCA_D_00026,,TELE_00026,LOGS_00026,2025-03-23 09:05:00,2025-03-23 11:00:00,
INC00027,Scheduled HR Reports Not Generating,The daily HR reports that are scheduled to run overnight are not being generated.,hr_analyst_07,Resolved,High,Major,HR Reporting Support,report_support_01,Restarted the reporting service and the database connection.,Fixed,2025-03-21 19:30:00,Reporting Issue,CMDBCI00027,WRK_AROUND_00027,KWN_ISSUE_00027,RCA_D_00027,,TELE_00027,LOGS_00027,2025-03-20 17:50:00,2025-03-21 19:30:00,
INC00028,HR Department Not Receiving External Emails,The HR department's shared email inbox is not receiving emails from outside the organization.,hr_manager_08,Resolved,High,Critical,Email Support,email_support_01,Adjusted the spam filter settings to allow legitimate external emails.,Fixed,2025-03-22 20:45:00,Email Issue,CMDBCI00028,WRK_AROUND_00028,KWN_ISSUE_00028,RCA_D_00028,CHNG_00028,TELE_00028,LOGS_00028,2025-03-21 19:05:00,2025-03-22 20:45:00,
INC00029,HR Manager's Laptop Running Extremely Slow,The HR Manager is experiencing significant performance issues with their laptop.,hr_manager_09,Resolved,High,Major,Desktop Support,tech_support_02,Identified and closed unnecessary applications; performed disk cleanup.,Fixed,2025-03-23 22:15:00,Hardware Issue,CMDBCI00029,WRK_AROUND_00029,KWN_ISSUE_00029,RCA_D_00029,,TELE_00029,LOGS_00029,2025-03-22 20:35:00,2025-03-23 22:15:00,
INC00030,Payroll Processing Job Failed Overnight,The automated payroll processing job failed to complete last night.,payroll_admin_10,Resolved,High,Critical,Payroll Support,payroll_support_01,Restarted the failed payroll job after resolving a database deadlock.,Fixed,2025-03-24 18:00:00,Payroll Issue,CMDBCI00030,WRK_AROUND_00030,KWN_ISSUE_00030,RCA_D_00030,,TELE_00030,LOGS_00030,2025-03-23 22:05:00,2025-03-24 18:00:00,
INC00031,Credit Card Processing System Outage,Customers are reporting that their credit card transactions are failing at POS terminals.,customer_support_01,Open,High,Critical,Credit Card Processing Support,cc_proc_support_01,,,Outage,,,,,,,,,2025-03-26 09:00:00,2025-03-26 09:15:00,
INC00032,Unable to Access Credit Card Account Online,Multiple customers are reporting they cannot log in to their credit card accounts through the online banking portal.,customer_service_02,Investigating,High,Major,Online Banking Support,online_banking_support_01,,,Access Issue,,,,,,,,,2025-03-26 09:30:00,2025-03-26 09:45:00,
INC00033,High Call Volume - Incorrect Late Payment Fees,The call center is experiencing a surge in calls regarding incorrect late payment fees charged on credit card statements.,call_center_agent_03,New,Medium,Major,Credit Card Services Call Center,cc_call_center_agent_01,,,Billing Issue,,,,,,,,,2025-03-26 10:00:00,2025-03-26 10:10:00,
INC00034,Potential Fraudulent Activity Detected,The fraud detection system has flagged a high number of potentially fraudulent transactions on various credit card accounts.,fraud_analyst_04,In Progress,High,Critical,Fraud Detection Team,fraud_analyst_01,,,Security Incident,,,,,,,,,2025-03-26 10:30:00,2025-03-26 10:40:00,
INC00035,Error in Credit Card Statement Generation,Customers are reporting missing or incorrect information on their latest credit card statements.,statement_processing_05,Open,High,Major,Statement Processing Team,statement_processor_01,,,Data Error,,,,,,,,,2025-03-26 11:00:00,2025-03-26 11:10:00,