id,cmdb_ci_id,name,description,data,created_date,updated_date,,,
TELE_0001,CMDBCI0001,CPU Usage,CPU utilization percentage on the web server,"[{""cpu_percent"": 80, ""timestamp"": ""2025-03-20 09:10:00""}, {""cpu_percent"": 81, ""timestamp"": ""2025-03-20 09:11:00""}, {""cpu_percent"": 89, ""timestamp"": ""2025-03-20 09:12:00""}]",2025-03-20 09:05:00,2025-03-20 09:10:00,,,
TELE_0002,CMDBCI0002,Database Connections,Number of active connections to the database server,"[{""active_connections"": 142, ""timestamp"": ""2025-03-20 10:20:00""}, {""active_connections"": 131, ""timestamp"": ""2025-03-20 10:21:00""}, {""active_connections"": 157, ""timestamp"": ""2025-03-20 10:22:00""}]",2025-03-20 10:10:00,2025-03-20 10:20:00,,,
TELE_0003,CMDBCI0003,Interface Errors,Number of errors on a specific network switch interface,"[{""interface"": ""eth0/1"", ""errors"": 5, ""timestamp"": ""2025-03-21 11:50:00""}, {""interface"": ""eth0/1"", ""errors"": 2, ""timestamp"": ""2025-03-21 11:51:00""}, {""interface"": ""eth0/1"", ""errors"": 6, ""timestamp"": ""2025-03-21 11:52:00""}]",2025-03-21 11:40:00,2025-03-21 11:50:00,,,
TELE_0004,CMDBCI0004,Memory Usage,RAM utilization percentage on the user's laptop,"[{""memory_percent"": 84, ""timestamp"": ""2025-03-21 13:55:00""}, {""memory_percent"": 63, ""timestamp"": ""2025-03-21 13:56:00""}, {""memory_percent"": 92, ""timestamp"": ""2025-03-21 13:57:00""}]",2025-03-21 13:50:00,2025-03-21 13:55:00,,,
TELE_0005,CMDBCI0005,Email Queue Length,Number of emails in the email server queue,"[{""queue_length"": 274, ""timestamp"": ""2025-03-22 14:25:00""}, {""queue_length"": 252, ""timestamp"": ""2025-03-22 14:26:00""}, {""queue_length"": 279, ""timestamp"": ""2025-03-22 14:27:00""}]",2025-03-22 14:15:00,2025-03-22 14:25:00,,,
TELE_0006,CMDBCI0006,Firewall Blocked Connections,Number of connection attempts blocked by the firewall,"[{""blocked_attempts"": 16, ""timestamp"": ""2025-03-23 09:10:00""}, {""blocked_attempts"": 18, ""timestamp"": ""2025-03-23 09:11:00""}, {""blocked_attempts"": 17, ""timestamp"": ""2025-03-23 09:12:00""}]",2025-03-23 09:05:00,2025-03-23 09:10:00,,,
TELE_0007,CMDBCI0007,Application Exceptions,Number of exceptions logged by the test application,"[{""exception_count"": 30, ""timestamp"": ""2025-03-20 18:00:00""}, {""exception_count"": 21, ""timestamp"": ""2025-03-20 18:01:00""}, {""exception_count"": 25, ""timestamp"": ""2025-03-20 18:02:00""}]",2025-03-20 17:50:00,2025-03-20 18:00:00,,,
TELE_0008,CMDBCI0008,Disk Latency,Average disk read/write latency on the storage array,"[{""latency_ms"": 38, ""timestamp"": ""2025-03-21 19:10:00""}, {""latency_ms"": 46, ""timestamp"": ""2025-03-21 19:11:00""}, {""latency_ms"": 46, ""timestamp"": ""2025-03-21 19:12:00""}]",2025-03-21 19:05:00,2025-03-21 19:10:00,,,
TELE_0009,CMDBCI0009,Application Crashes,Number of times the desktop application has crashed,"[{""crash_count"": 3, ""timestamp"": ""2025-03-22 20:40:00""}, {""crash_count"": 8, ""timestamp"": ""2025-03-22 20:41:00""}, {""crash_count"": 6, ""timestamp"": ""2025-03-22 20:42:00""}]",2025-03-22 20:35:00,2025-03-22 20:40:00,,,
TELE_00010,CMDBCI00010,Load Balancer Connections,Number of active connections handled by a specific load balancer instance,"[{""active_connections"": 194, ""timestamp"": ""2025-03-23 22:10:00""}, {""active_connections"": 196, ""timestamp"": ""2025-03-23 22:11:00""}, {""active_connections"": 270, ""timestamp"": ""2025-03-23 22:12:00""}]",2025-03-23 22:05:00,2025-03-23 22:10:00,,,
TELE_00011,CMDBCI00011,Trade Order Latency,Average latency for processing trade orders on Trading System Alpha,"{""latency_ms"": 150,""timestamp"": ""2025-03-20 09:10:00""}, {""latency_ms"": 160.94, ""timestamp"": ""2025-03-20 09:19:00""},{""latency_ms"": 155.26, ""timestamp"": ""2025-03-20 09:25:00""},{""latency_ms"": 142.79, ""timestamp"": ""2025-03-20 09:25:00""}",2025-03-20 09:05:00,2025-03-20 09:10:00,,,
TELE_00012,CMDBCI00012,Database Query Response Time,Average response time for critical queries on Transaction Database Beta,"{""response_time_ms"": 250,""timestamp"": ""2025-03-20 10:20:00""}, {""response_time_ms"": 254.71, ""timestamp"": ""2025-03-20 10:28:00""},{""response_time_ms"": 250.61, ""timestamp"": ""2025-03-20 10:27:00""},{""response_time_ms"": 269.13, ""timestamp"": ""2025-03-20 10:27:00""}",2025-03-20 10:10:00,2025-03-20 10:20:00,,,
TELE_00013,CMDBCI00013,Risk Calculation Time,Time taken to complete overnight risk calculations on Risk Management Server Gamma,"{""calculation_time_s"": 60,""timestamp"": ""2025-03-21 11:50:00""}, {""calculation_time_s"": 62.34, ""timestamp"": ""2025-03-21 12:05:00""},{""calculation_time_s"": 56.52, ""timestamp"": ""2025-03-21 12:01:00""},{""calculation_time_s"": 55.1, ""timestamp"": ""2025-03-21 12:00:00""}",2025-03-21 11:40:00,2025-03-21 11:50:00,,,
TELE_00014,CMDBCI00014,Customer Portal Login Attempts,Number of successful and failed login attempts on the Customer Portal Web,"{""successful_attempts"": 500, ""failed_attempts"": 50,""timestamp"": ""2025-03-21 13:55:00""}, {""successful_attempts"": 464.99, ""failed_attempts"": 53.69, ""timestamp"": ""2025-03-21 14:02:00""},{""successful_attempts"": 529.63, ""failed_attempts"": 47.56, ""timestamp"": ""2025-03-21 14:05:00""},{""successful_attempts"": 467.23, ""failed_attempts"": 49.45, ""timestamp"": ""2025-03-21 14:05:00""}",2025-03-21 13:50:00,2025-03-21 13:55:00,,,
TELE_00015,CMDBCI00015,Payment Gateway Transaction Volume,Number of transactions processed by Payment Gateway Delta per minute,"{""transactions_per_minute"": 120,""timestamp"": ""2025-03-22 14:25:00""}, {""transactions_per_minute"": 127.24, ""timestamp"": ""2025-03-22 14:38:00""},{""transactions_per_minute"": 121.8, ""timestamp"": ""2025-03-22 14:35:00""},{""transactions_per_minute"": 130.13, ""timestamp"": ""2025-03-22 14:40:00""}",2025-03-22 14:15:00,2025-03-22 14:25:00,,,
TELE_00016,CMDBCI00016,Report Generation Time,Time taken to generate the end-of-day financial reports on Reporting Server Epsilon,"{""generation_time_s"": 120,""timestamp"": ""2025-03-23 09:10:00""}, {""generation_time_s"": 122.25, ""timestamp"": ""2025-03-23 09:15:00""},{""generation_time_s"": 129.4, ""timestamp"": ""2025-03-23 09:15:00""},{""generation_time_s"": 129.14, ""timestamp"": ""2025-03-23 09:15:00""}",2025-03-23 09:05:00,2025-03-23 09:10:00,,,
TELE_00017,CMDBCI00017,Mobile App Active Users,Number of active users currently logged into the Mobile Banking App,"{""active_users"": 1500,""timestamp"": ""2025-03-20 18:00:00""}, {""active_users"": 1388.41, ""timestamp"": ""2025-03-20 18:05:00""},{""active_users"": 1592.49, ""timestamp"": ""2025-03-20 18:15:00""},{""active_users"": 1495.79, ""timestamp"": ""2025-03-20 18:12:00""}",2025-03-20 17:50:00,2025-03-20 18:00:00,,,
TELE_00018,CMDBCI00018,Compliance Alert Count,Number of compliance alerts generated by Compliance Audit System Zeta,"{""alert_count"": 350,""timestamp"": ""2025-03-21 19:10:00""}, {""alert_count"": 349.76, ""timestamp"": ""2025-03-21 19:23:00""},{""alert_count"": 361.8, ""timestamp"": ""2025-03-21 19:24:00""},{""alert_count"": 316.48, ""timestamp"": ""2025-03-21 19:18:00""}",2025-03-21 19:05:00,2025-03-21 19:10:00,,,
TELE_00019,CMDBCI00019,ATM Transaction Success Rate,Percentage of successful ATM transactions processed by the ATM Network Controller,"{""success_rate"": 0.95,""timestamp"": ""2025-03-22 20:40:00""}, {""success_rate"": 1.04, ""timestamp"": ""2025-03-22 20:48:00""},{""success_rate"": 1.02, ""timestamp"": ""2025-03-22 20:47:00""},{""success_rate"": 0.88, ""timestamp"": ""2025-03-22 20:54:00""}",2025-03-22 20:35:00,2025-03-22 20:40:00,,,
TELE_00020,CMDBCI00020,Fraud Alert Count,Number of fraud alerts generated by Fraud Detection System Eta,"{""alert_count"": 200,""timestamp"": ""2025-03-23 22:10:00""}, {""alert_count"": 206.39, ""timestamp"": ""2025-03-23 22:19:00""},{""alert_count"": 187.56, ""timestamp"": ""2025-03-23 22:16:00""},{""alert_count"": 195.08, ""timestamp"": ""2025-03-23 22:21:00""}",2025-03-23 22:05:00,2025-03-23 22:10:00,,,
TELE_00021,CMDBCI00021,HRIS Application Response Time,Average response time for key transactions in the HRIS application,"{""avg_response_time_ms"": 350,""timestamp"": ""2025-03-20 09:10:00""}, {""avg_response_time_ms"": 336.15, ""timestamp"": ""2025-03-20 09:21:00""},{""avg_response_time_ms"": 356.64, ""timestamp"": ""2025-03-20 09:25:00""},{""avg_response_time_ms"": 375.62, ""timestamp"": ""2025-03-20 09:18:00""}",2025-03-20 09:05:00,2025-03-20 09:10:00,,,
TELE_00022,CMDBCI00022,Payroll Database CPU Utilization,Percentage of CPU utilization on the payroll database server,"{""cpu_percent"": 65,""timestamp"": ""2025-03-20 10:20:00""}, {""cpu_percent"": 68.12, ""timestamp"": ""2025-03-20 10:26:00""},{""cpu_percent"": 59.01, ""timestamp"": ""2025-03-20 10:33:00""},{""cpu_percent"": 64.18, ""timestamp"": ""2025-03-20 10:27:00""}",2025-03-20 10:10:00,2025-03-20 10:20:00,,,
TELE_00023,CMDBCI00023,Employee Portal Login Success Rate,Percentage of successful login attempts to the employee portal,"{""success_rate"": 0.95,""timestamp"": ""2025-03-21 11:50:00""}, {""success_rate"": 0.87, ""timestamp"": ""2025-03-21 12:03:00""},{""success_rate"": 0.93, ""timestamp"": ""2025-03-21 12:04:00""},{""success_rate"": 1.0, ""timestamp"": ""2025-03-21 12:00:00""}",2025-03-21 11:40:00,2025-03-21 11:50:00,,,
TELE_00024,CMDBCI00024,Laptop CPU Usage - John Smith,CPU utilization percentage on John Smith's laptop,"{""cpu_percent"": 88,""timestamp"": ""2025-03-21 13:55:00""}, {""cpu_percent"": 89.65, ""timestamp"": ""2025-03-21 14:00:00""},{""cpu_percent"": 83.87, ""timestamp"": ""2025-03-21 14:05:00""},{""cpu_percent"": 89.72, ""timestamp"": ""2025-03-21 14:00:00""}",2025-03-21 13:50:00,2025-03-21 13:55:00,,,
TELE_00025,CMDBCI00025,HR Shared Drive Free Space,Percentage of free space remaining on the HR documents network share,"{""free_space_percent"": 30,""timestamp"": ""2025-03-22 14:25:00""}, {""free_space_percent"": 31.04, ""timestamp"": ""2025-03-22 14:35:00""},{""free_space_percent"": 31.78, ""timestamp"": ""2025-03-22 14:36:00""},{""free_space_percent"": 28.63, ""timestamp"": ""2025-03-22 14:34:00""}",2025-03-22 14:15:00,2025-03-22 14:25:00,,,
TELE_00026,CMDBCI00026,Time Tracking System Error Rate,Number of errors reported per hour in the time tracking system,"{""errors_per_hour"": 5,""timestamp"": ""2025-03-23 09:10:00""}, {""errors_per_hour"": 4.53, ""timestamp"": ""2025-03-23 09:17:00""},{""errors_per_hour"": 5.0, ""timestamp"": ""2025-03-23 09:17:00""},{""errors_per_hour"": 4.88, ""timestamp"": ""2025-03-23 09:20:00""}",2025-03-23 09:05:00,2025-03-23 09:10:00,,,
TELE_00027,CMDBCI00027,Recruitment Application Response Time,Average response time for key actions in the recruitment application,"{""avg_response_time_ms"": 420,""timestamp"": ""2025-03-20 18:00:00""}, {""avg_response_time_ms"": 452.89, ""timestamp"": ""2025-03-20 18:05:00""},{""avg_response_time_ms"": 434.57, ""timestamp"": ""2025-03-20 18:08:00""},{""avg_response_time_ms"": 400.65, ""timestamp"": ""2025-03-20 18:06:00""}",2025-03-20 17:50:00,2025-03-20 18:00:00,,,
TELE_00028,CMDBCI00028,Benefits System Availability,Availability status of the external benefits administration system,"{""status"": ""UP"",""timestamp"": ""2025-03-21 19:10:00""}, {""status"": ""UP"", ""timestamp"": ""2025-03-21 19:25:00""},{""status"": ""UP"", ""timestamp"": ""2025-03-21 19:16:00""},{""status"": ""UP"", ""timestamp"": ""2025-03-21 19:20:00""}",2025-03-21 19:05:00,2025-03-21 19:10:00,,,
TELE_00029,CMDBCI00029,HR Reporting Server Memory Usage,Percentage of memory utilization on the HR reporting server,"{""memory_percent"": 70,""timestamp"": ""2025-03-22 20:40:00""}, {""memory_percent"": 64.61, ""timestamp"": ""2025-03-22 20:48:00""},{""memory_percent"": 69.46, ""timestamp"": ""2025-03-22 20:54:00""},{""memory_percent"": 76.82, ""timestamp"": ""2025-03-22 20:45:00""}",2025-03-22 20:35:00,2025-03-22 20:40:00,,,
TELE_00030,CMDBCI00030,Payroll Database Disk I/O,Average disk I/O latency on the payroll database server,"{""avg_io_latency_ms"": 15,""timestamp"": ""2025-03-23 22:10:00""}, {""avg_io_latency_ms"": 14.78, ""timestamp"": ""2025-03-23 22:24:00""},{""avg_io_latency_ms"": 15.13, ""timestamp"": ""2025-03-23 22:24:00""},{""avg_io_latency_ms"": 14.11, ""timestamp"": ""2025-03-23 22:24:00""}",2025-03-23 22:05:00,2025-03-23 22:10:00,,,
